Дата,Имя,Почта,Школа,Класс,Результат
14.05.2024,Бердигулова Диана,dianna.berdigulova@mail.kz,Гимназия N15,11B,Флорист
14.05.2024,Бердиева Айсулу,aisulu.berdieva@mail.kz,Гимназия N15,9A,Фармацевт
15.05.2024,Берикова Аида,aida.berikova@mail.kz,Гимназия N15,10B,Астрофизик
15.05.2024,Берикулов Олжас,olzhas.berikulov@mail.kz,Гимназия N15,11A,Врач-педиатр
16.05.2024,Бисенгалиева Назгуль,nazgul.bisengaliyeva@mail.kz,Гимназия N15,9C,Хирург
16.05.2024,Бисенова Назгуль,nazgul.bisenova@mail.kz,Гимназия N15,10A,Геолог
17.05.2024,Битемирова Айжан,aijan.bitemirova@mail.kz,Гимназия N15,11C,Косметолог
17.05.2024,Бозтаева Айдана,aidana.boztaeva@mail.kz,Гимназия N15,9B,Гид по туризму
18.05.2024,Булекова Дильназ,dilnaz.bulekova@mail.kz,Гимназия N15,10C,Инструктор по йоге
18.05.2024,Габдуллина Айдана,aidana.gabdullina@mail.kz,Гимназия N15,11B,Балерина
19.05.2024,Габитова Гульназ,gulnaz.gabitova@mail.kz,Гимназия N15,9A,Ресторатор
19.05.2024,Галиева Назгуль,nazgul.galieva@mail.kz,Гимназия N15,10B,Консультант по управлению бизнес-процессами
20.05.2024,Галимова Назгуль,nazgul.galimova@mail.kz,Гимназия N15,11A,Артист
20.05.2024,Гарифуллина Айгуль,aigul.garifullina@mail.kz,Гимназия N15,9C,Социолог
21.05.2024,Гафурова Гульмира,gulmira.gafurova@mail.kz,Гимназия N15,10A,Художник
21.05.2024,Даньярова Гульмира,gulmira.danyarova@mail.kz,Гимназия N15,11C,Интеллектуал
22.05.2024,Дауренов Айсултан,aisultan.daurenov@mail.kz,Гимназия N15,9B,Прагматик
22.05.2024,Джаманова Дильназ,dilnaz.djamanova@mail.kz,Гимназия N15,10C,Контролер
23.05.2024,Джанабаева Айнур,ainur.dzhanabaeva@mail.kz,Гимназия N15,11B,Генетик
23.05.2024,Джангильдиев Ержан,erjan.djangildiev@mail.kz,Гимназия N15,9A,Флорист
24.05.2024,Дуйсенова Назгуль,nazgul.duisenova@mail.kz,Гимназия N15,10B,Фармацевт
24.05.2024,Ергалиев Олжас,olzhas.yergaliev@mail.kz,Гимназия N15,11A,Астрофизик
01.05.2024,Ермекова Амина,amina.yermekova@mail.kz,Гимназия N15,9C,Врач-педиатр
01.05.2024,Ерназарова Айдана,aidana.yernazarova@mail.kz,Гимназия N15,10A,Хирург
02.05.2024,Жаманкулова Алия,aliya.jamankulova@mail.kz,Гимназия N15,11C,Геолог
02.05.2024,Жанабаев Аскар,askar.janabayev@mail.kz,Гимназия N15,9B,Косметолог
03.05.2024,Жанибекова Динара,dinara.janibekova@mail.kz,Гимназия N15,10C,Гид по туризму
03.05.2024,Жанузакова Жазира,zhazira.januzakova@mail.kz,Гимназия N15,11B,Инструктор по йоге
04.05.2024,Жантурова Назерке,nazerke.janturova@mail.kz,Гимназия N15,9A,Балерина
04.05.2024,Жусупова Гульназ,gulnaz.jusupova@mail.kz,Гимназия N15,10B,Ресторатор
05.05.2024,Жумагулова Назгуль,nazgul.jumagulova@mail.kz,Гимназия N15,11A,Консультант по управлению бизнес-процессами
05.05.2024,Жумагазиева Айдана,aidana.jumagazieva@mail.kz,Гимназия N15,9C,Артист
06.05.2024,Жусупбекова Назгуль,nazgul.jusupbekova@mail.kz,Гимназия N15,10A,Социолог
06.05.2024,Ибраева Назгуль,nazgul.ibraeva@mail.kz,Гимназия N15,11C,Художник
07.05.2024,Ильясова Амина,amina.ilyasova@mail.kz,Гимназия N15,9B,Интеллектуал
07.05.2024,Искакова Гульмира,gulmira.iskakova@mail.kz,Гимназия N15,10C,Прагматик
08.05.2024,Исмаилова Жазира,zhazira.ismailova@mail.kz,Гимназия N15,11B,Контролер
08.05.2024,Кабдулова Дильназ,dilnaz.kabdulova@mail.kz,Гимназия N15,9A,Генетик
09.05.2024,Казбекова Гульназ,gulnaz.kazbekova@mail.kz,Гимназия N15,10B,Флорист
09.05.2024,Калдыбаева Аида,aida.kaldybaeva@mail.kz,Гимназия N15,11A,Фармацевт
10.05.2024,Камалова Назгуль,nazgul.kamalova@mail.kz,Гимназия N15,9C,Астрофизик
10.05.2024,Камбарова Назгуль,nazgul.kambarova@mail.kz,Гимназия N15,10A,Врач-педиатр
11.05.2024,Кенжебекова Амина,amina.kenzhebekova@mail.kz,Гимназия N15,11C,Хирург
11.05.2024,Кенжетаева Назгуль,nazgul.kenzhetaeva@mail.kz,Гимназия N15,9B,Геолог
12.05.2024,Керимбаева Гульназ,gulnaz.kerimbaeva@mail.kz,Гимназия N15,10C,Косметолог
12.05.2024,Керимкулова Айдана,aidana.kerimkulova@mail.kz,Гимназия N15,11B,Гид по туризму
13.05.2024,Киселева Аружан,aruzhan.kiseleva@mail.kz,Гимназия N15,9A,Инструктор по йоге
13.05.2024,Кожаева Назгуль,nazgul.kozhaeva@mail.kz,Гимназия N15,10B,Балерина
14.05.2024,Кожахметова Жазира,zhazira.kozhakhmetova@mail.kz,Гимназия N15,11A,Ресторатор
14.05.2024,Копжасарова Назгуль,nazgul.kopzhasarova@mail.kz,Гимназия N15,9C,Консультант по управлению бизнес-процессами
15.05.2024,Кубекова Назгуль,nazgul.kubekova@mail.kz,Гимназия N15,10A,Артист
15.05.2024,Кудукбаев Ернар,ernar.kudukbaev@mail.kz,Гимназия N15,11C,Социолог
16.05.2024,Кулжабаева Назгуль,nazgul.kulzhabayeva@mail.kz,Гимназия N15,9B,Художник
16.05.2024,Кулмагамбетова Амина,amina.kulmagambetova@mail.kz,Гимназия N15,10C,Интеллектуал
17.05.2024,Култаева Назгуль,nazgul.kultayeva@mail.kz,Гимназия N15,11B,Прагматик
17.05.2024,Кульбекова Гульназ,gulnaz.kulbekova@mail.kz,Гимназия N15,9A,Контролер
18.05.2024,Кульшарипова Айдана,aidana.kulsharipova@mail.kz,Гимназия N15,10B,Генетик
18.05.2024,Кунанова Назгуль,nazgul.kunanova@mail.kz,Гимназия N15,11A,Флорист
19.05.2024,Курмангали Назгуль,nazgul.kurmanqali@mail.kz,Гимназия N15,9C,Фармацевт
19.05.2024,Курмангалиева Назгуль,nazgul.kurmanqaliyeva@mail.kz,Гимназия N15,10A,Астрофизик
20.05.2024,Кусаинова Назгуль,nazgul.kusainova@mail.kz,Гимназия N15,11C,Врач-педиатр
20.05.2024,Магазова Назгуль,nazgul.magazova@mail.kz,Гимназия N15,9B,Хирург
21.05.2024,Мазитаева Назгуль,nazgul.mazitayeva@mail.kz,Гимназия N15,10C,Геолог
21.05.2024,Майданова Назгуль,nazgul.maidanova@mail.kz,Гимназия N15,11B,Косметолог
22.05.2024,Мамедова Назгуль,nazgul.mamedova@mail.kz,Гимназия N15,9A,Гид по туризму
22.05.2024,Маратуова Назгуль,nazgul.maratova@mail.kz,Гимназия N15,10B,Инструктор по йоге
23.05.2024,Мейрамбекова Назгуль,nazgul.meirambekova@mail.kz,Гимназия N15,11A,Балерина
23.05.2024,Мендигалиева Назгуль,nazgul.mendigalieva@mail.kz,Гимназия N15,9C,Ресторатор
24.05.2024,Меркулова Назгуль,nazgul.merkulova@mail.kz,Гимназия N15,10A,Консультант по управлению бизнес-процессами
24.05.2024,Мурзагалиева Назгуль,nazgul.murzagaliyeva@mail.kz,Гимназия N15,11C,Артист
01.05.2024,Мусина Назгуль,nazgul.musina@mail.kz,Гимназия N15,9B,Социолог
01.05.2024,Мухаммеджанова Назгуль,nazgul.mukhammedzhanova@mail.kz,Гимназия N15,10C,Художник
02.05.2024,Мухитдинова Назгуль,nazgul.mukhitdinova@mail.kz,Гимназия N15,11B,Интеллектуал
02.05.2024,Мусабаев Назгуль,nazgul.musabaev@mail.kz,Гимназия N15,9A,Прагматик
03.05.2024,Мырзалиева Назгуль,nazgul.myrzaliyeva@mail.kz,Гимназия N15,10B,Контролер
03.05.2024,Нагашибаев Назгуль,nazgul.nagashibayev@mail.kz,Гимназия N15,11A,Генетик
04.05.2024,Наурызбаева Назгуль,nazgul.nauryzbaeva@mail.kz,Гимназия N15,9C,Флорист
04.05.2024,Нурмухамбетова Назгуль,nazgul.nurmukhametova@mail.kz,Гимназия N15,10A,Фармацевт
05.05.2024,Омарова Назгуль,nazgul.omarova@mail.kz,Гимназия N15,11C,Астрофизик
05.05.2024,Оспанова Назгуль,nazgul.ospanova@mail.kz,Гимназия N15,9B,Врач-педиатр
06.05.2024,Рахметова Назгуль,nazgul.rakhmetova@mail.kz,Гимназия N15,10C,Хирург
06.05.2024,Садыкова Назгуль,nazgul.sadykova@mail.kz,Гимназия N15,11B,Геолог
07.05.2024,Сайлаубекова Назгуль,nazgul.sailaubekova@mail.kz,Гимназия N15,9A,Косметолог
07.05.2024,Сагындык Назгуль,nazgul.sagyndyk@mail.kz,Гимназия N15,10B,Гид по туризму
08.05.2024,Сарсенова Назгуль,nazgul.sarsenova@mail.kz,Гимназия N15,11A,Инструктор по йоге
08.05.2024,Сатпаева Назгуль,nazgul.satpaeva@mail.kz,Гимназия N15,9C,Балерина
09.05.2024,Сеилбекова Назгуль,nazgul.seilbekova@mail.kz,Гимназия N15,10A,Ресторатор
09.05.2024,Сембаева Назгуль,nazgul.sembaeva@mail.kz,Гимназия N15,11C,Консультант по управлению бизнес-процессами
10.05.2024,Сидикова Назгуль,nazgul.sidikova@mail.kz,Гимназия N15,9B,Артист
10.05.2024,Смагулова Назгуль,nazgul.smagulova@mail.kz,Гимназия N15,10C,Социолог
11.05.2024,Тажикулова Назгуль,nazgul.tazhikulova@mail.kz,Гимназия N15,11B,Художник
11.05.2024,Тасмагамбетова Назгуль,nazgul.tasmagambetova@mail.kz,Гимназия N15,9A,Интеллектуал
12.05.2024,Темирханова Назгуль,nazgul.temirkhanova@mail.kz,Гимназия N15,10B,Прагматик
12.05.2024,Тимурбекова Назгуль,nazgul.timurbekova@mail.kz,Гимназия N15,11A,Контролер
13.05.2024,Толегенова Назгуль,nazgul.tulegenova@mail.kz,Гимназия N15,9C,Генетик
13.05.2024,Тулегенова Назгуль,nazgul.tulegenova@mail.kz,Гимназия N15,10A,Флорист
14.05.2024,Утепова Назгуль,nazgul.utepova@mail.kz,Гимназия N15,11C,Фармацевт
14.05.2024,Утемуратова Назгуль,nazgul.utemuratova@mail.kz,Гимназия N15,9B,Астрофизик
15.05.2024,Фазылова Назгуль,nazgul.fazylova@mail.kz,Гимназия N15,10C,Врач-педиатр
15.05.2024,Хамитова Назгуль,nazgul.khamitova@mail.kz,Гимназия N15,11B,Хирург
16.05.2024,Худайбергенова Назгуль,nazgul.khudaybergenova@mail.kz,Гимназия N15,9A,Геолог
16.05.2024,Циринг Назгуль,nazgul.tsiring@mail.kz,Гимназия N15,10B,Косметолог
17.05.2024,Чапай Назгуль,nazgul.chapay@mail.kz,Гимназия N15,11A,Гид по туризму
17.05.2024,Шаймерденова Назгуль,nazgul.shaimerdenova@mail.kz,Гимназия N15,9C,Инструктор по йоге
18.05.2024,Шаймуратова Назгуль,nazgul.shaimuratova@mail.kz,Гимназия N15,10A,Балерина
18.05.2024,Шарипова Назгуль,nazgul.sharipova@mail.kz,Гимназия N15,11C,Ресторатор
19.05.2024,Шаяхметова Назгуль,nazgul.shayakhmetova@mail.kz,Гимназия N15,9B,Консультант по управлению бизнес-процессами
19.05.2024,Шерхан Назгуль,nazgul.sherkhan@mail.kz,Гимназия N15,10C,Артист
20.05.2024,Эрмек Назгуль,nazgul.ermek@mail.kz,Гимназия N15,11B,Социолог
20.05.2024,Юлдаш Назгуль,nazgul.yuldash@mail.kz,Гимназия N15,9A,Художник
21.05.2024,Юн Назгуль,nazgul.yun@mail.kz,Гимназия N15,10B,Интеллектуал
21.05.2024,Юсуп Назгуль,nazgul.yusup@mail.kz,Гимназия N15,11A,Прагматик
22.05.2024,Юсупова Назгуль,nazgul.yusupova@mail.kz,Гимназия N15,9C,Контролер
22.05.2024,Ягудин Назгуль,nazgul.yagudin@mail.kz,Гимназия N15,10A,Генетик
23.05.2024,Якуб Назгуль,nazgul.yakub@mail.kz,Гимназия N15,11C,Флорист
23.05.2024,Якубов Назгуль,nazgul.yakubov@mail.kz,Гимназия N15,9B,Фармацевт
24.05.2024,Ян Назгуль,nazgul.yan@mail.kz,Гимназия N15,10C,Астрофизик
24.05.2024,Яруллин Назгуль,nazgul.yarullin@mail.kz,Гимназия N15,11B,Врач-педиатр
